state,action,value
r5k1/p1p2b2/1pnr2p1/5PB1/2P1p1P1/2P5/P3BK2/1R5R b - - 3 22,a8e8,120
4r1k1/p1p2b2/1pnr2p1/5PB1/2P1p1P1/2P5/P3BK2/1R5R w - - 4 23,f2g3,120
4r1k1/p1p2b2/1pnr2p1/5PB1/2P1p1P1/2P3K1/P3B3/1R5R b - - 5 23,g8g7,180
4r3/p1p2bk1/1pnr2p1/5PB1/2P1p1P1/2P3K1/P3B3/1R5R w - - 6 24,c4c5,177
4r3/p1p2bk1/1pnr2p1/2P2PB1/4p1P1/2P3K1/P3B3/1R5R b - - 0 24,d6d5,217
4r3/p1p2bk1/1pn3p1/2Pr1PB1/4p1P1/2P3K1/P3B3/1R5R w - - 1 25,g5h6,206
4r3/p1p2bk1/1pn3pB/2Pr1P2/4p1P1/2P3K1/P3B3/1R5R b - - 2 25,g7f6,203
4r3/p1p2b2/1pn2kpB/2Pr1P2/4p1P1/2P3K1/P3B3/1R5R w - - 3 26,g4g5,163
4r3/p1p2b2/1pn2kpB/2Pr1PP1/4p3/2P3K1/P3B3/1R5R b - - 0 26,f6e7,174
4r3/p1p1kb2/1pn3pB/2Pr1PP1/4p3/2P3K1/P3B3/1R5R w - - 1 27,f5f6,146
4r3/p1p1kb2/1pn2PpB/2Pr2P1/4p3/2P3K1/P3B3/1R5R b - - 0 27,e7d7,178
4r3/p1pk1b2/1pn2PpB/2Pr2P1/4p3/2P3K1/P3B3/1R5R w - - 1 28,c5b6,140
4r3/p1pk1b2/1Pn2PpB/3r2P1/4p3/2P3K1/P3B3/1R5R b - - 0 28,a7b6,127
4r3/2pk1b2/1pn2PpB/3r2P1/4p3/2P3K1/P3B3/1R5R w - - 0 29,e2c4,131
4r3/2pk1b2/1pn2PpB/3r2P1/2B1p3/2P3K1/P7/1R5R b - - 1 29,c6e5,128
4r3/2pk1b2/1p3PpB/3rn1P1/2B1p3/2P3K1/P7/1R5R w - - 2 30,c4d5,120
4r3/2pk1b2/1p3PpB/3Bn1P1/4p3/2P3K1/P7/1R5R b - - 0 30,f7d5,150
4r3/2pk4/1p3PpB/3bn1P1/4p3/2P3K1/P7/1R5R w - - 0 31,b1d1,124
4r3/2pk4/1p3PpB/3bn1P1/4p3/2P3K1/P7/3R3R b - - 1 31,d7e6,127
4r3/2p5/1p2kPpB/3bn1P1/4p3/2P3K1/P7/3R3R w - - 2 32,a2a4,128
4r3/2p5/1p2kPpB/3bn1P1/P3p3/2P3K1/8/3R3R b - - 0 32,e8a8,113
r7/2p5/1p2kPpB/3bn1P1/P3p3/2P3K1/8/3R3R w - - 1 33,d1d4,139
r7/2p5/1p2kPpB/3bn1P1/P2Rp3/2P3K1/8/7R b - - 2 33,c7c5,128
r7/8/1p2kPpB/2pbn1P1/P2Rp3/2P3K1/8/7R w - - 0 34,d4d1,82
r7/8/1p2kPpB/2pbn1P1/P3p3/2P3K1/8/3R3R b - - 1 34,d5c6,113
r7/8/1pb1kPpB/2p1n1P1/P3p3/2P3K1/8/3R3R w - - 2 35,h1f1,163
r7/8/1pb1kPpB/2p1n1P1/P3p3/2P3K1/8/3R1R2 b - - 3 35,e6f7,102
r7/5k2/1pb2PpB/2p1n1P1/P3p3/2P3K1/8/3R1R2 w - - 4 36,a4a5,97
r7/5k2/1pb2PpB/P1p1n1P1/4p3/2P3K1/8/3R1R2 b - - 0 36,b6a5,50
r7/5k2/2b2PpB/p1p1n1P1/4p3/2P3K1/8/3R1R2 w - - 0 37,d1d6,9
r7/5k2/2bR1PpB/p1p1n1P1/4p3/2P3K1/8/5R2 b - - 1 37,a5a4,91
r7/5k2/2bR1PpB/2p1n1P1/p3p3/2P3K1/8/5R2 w - - 0 38,f1g1,102
r7/5k2/2bR1PpB/2p1n1P1/p3p3/2P3K1/8/6R1 b - - 1 38,a4a3,0
r7/5k2/2bR1PpB/2p1n1P1/4p3/p1P3K1/8/6R1 w - - 0 39,g3f4,21
r7/5k2/2bR1PpB/2p1n1P1/4pK2/p1P5/8/6R1 b - - 1 39,e5d3,0
r7/5k2/2bR1PpB/2p3P1/4pK2/p1Pn4/8/6R1 w - - 2 40,f4g3,6
r7/5k2/2bR1PpB/2p3P1/4p3/p1Pn2K1/8/6R1 b - - 3 40,d3e5,1
r7/5k2/2bR1PpB/2p1n1P1/4p3/p1P3K1/8/6R1 w - - 4 41,g3f4,0
r7/5k2/2bR1PpB/2p1n1P1/4pK2/p1P5/8/6R1 b - - 5 41,e5d3,0
r7/5k2/2bR1PpB/2p3P1/4pK2/p1Pn4/8/6R1 w - - 6 42,f4e3,25
r7/5k2/2bR1PpB/2p3P1/4p3/p1PnK3/8/6R1 b - - 7 42,d3e5,0
r7/5k2/2bR1PpB/2p1n1P1/4p3/p1P1K3/8/6R1 w - - 8 43,e3f4,0
r7/5k2/2bR1PpB/2p1n1P1/4pK2/p1P5/8/6R1 b - - 9 43,e5d3,0
r7/5k2/2bR1PpB/2p3P1/4pK2/p1Pn4/8/6R1 w - - 10 44,f4g3,3
r7/5k2/2bR1PpB/2p3P1/4p3/p1Pn2K1/8/6R1 b - - 11 44,d3e5,0
r7/5k2/2bR1PpB/2p1n1P1/4p3/p1P3K1/8/6R1 w - - 12 45,g1a1,3
r7/5k2/2bR1PpB/2p1n1P1/4p3/p1P3K1/8/R7 b - - 13 45,e4e3,-28
r7/5k2/2bR1PpB/2p1n1P1/8/p1P1p1K1/8/R7 w - - 0 46,g3f4,-8
r7/5k2/2bR1PpB/2p1n1P1/5K2/p1P1p3/8/R7 b - - 1 46,e3e2,-161
r7/5k2/2bR1PpB/2p1n1P1/5K2/p1P5/4p3/R7 w - - 0 47,f4e5,106
r7/5k2/2bR1PpB/2p1K1P1/8/p1P5/4p3/R7 b - - 0 47,a8e8,321
4r3/5k2/2bR1PpB/2p1K1P1/8/p1P5/4p3/R7 w - - 1 48,e5f4,100
4r3/5k2/2bR1PpB/2p3P1/5K2/p1P5/4p3/R7 b - - 2 48,e2e1r,106
4r3/5k2/2bR1PpB/2p3P1/5K2/p1P5/8/R3r3 w - - 0 49,a1e1,117
4r3/5k2/2bR1PpB/2p3P1/5K2/p1P5/8/4R3 b - - 0 49,e8e1,373
8/5k2/2bR1PpB/2p3P1/5K2/p1P5/8/4r3 w - - 0 50,d6c6,190
8/5k2/2R2PpB/2p3P1/5K2/p1P5/8/4r3 b - - 0 50,f7e8,463
4k3/8/2R2PpB/2p3P1/5K2/p1P5/8/4r3 w - - 1 51,c6a6,490
4k3/8/R4PpB/2p3P1/5K2/p1P5/8/4r3 b - - 2 51,e1a1,518
4k3/8/R4PpB/2p3P1/5K2/p1P5/8/r7 w - - 3 52,a6a7,577
4k3/R7/5PpB/2p3P1/5K2/p1P5/8/r7 b - - 4 52,e8d8,557
3k4/R7/5PpB/2p3P1/5K2/p1P5/8/r7 w - - 5 53,f4e4,525
3k4/R7/5PpB/2p3P1/4K3/p1P5/8/r7 b - - 6 53,c5c4,581
3k4/R7/5PpB/6P1/2p1K3/p1P5/8/r7 w - - 0 54,f6f7,587
3k4/R4P2/6pB/6P1/2p1K3/p1P5/8/r7 b - - 0 54,a1f1,578
3k4/R4P2/6pB/6P1/2p1K3/p1P5/8/5r2 w - - 1 55,f7f8q,633
3k1Q2/R7/6pB/6P1/2p1K3/p1P5/8/5r2 b - - 0 55,f1f8,640
3k1r2/R7/6pB/6P1/2p1K3/p1P5/8/8 w - - 0 56,h6f8,666
3k1B2/R7/6p1/6P1/2p1K3/p1P5/8/8 b - - 0 56,a3a2,700
3k1B2/R7/6p1/6P1/2p1K3/2P5/p7/8 w - - 0 57,a7a2,708
3k1B2/8/6p1/6P1/2p1K3/2P5/R7/8 b - - 0 57,d8e8,691
4kB2/8/6p1/6P1/2p1K3/2P5/R7/8 w - - 1 58,a2a6,694
4kB2/8/R5p1/6P1/2p1K3/2P5/8/8 b - - 2 58,e8f8,715
5k2/8/R5p1/6P1/2p1K3/2P5/8/8 w - - 0 59,a6g6,725
5k2/8/6R1/6P1/2p1K3/2P5/8/8 b - - 0 59,f8f7,718
8/5k2/6R1/6P1/2p1K3/2P5/8/8 w - - 1 60,g6b6,760
8/5k2/1R6/6P1/2p1K3/2P5/8/8 b - - 2 60,f7g7,748
8/6k1/1R6/6P1/2p1K3/2P5/8/8 w - - 3 61,e4f5,8
8/6k1/1R6/5KP1/2p5/2P5/8/8 b - - 4 61,g7f7,845
8/5k2/1R6/5KP1/2p5/2P5/8/8 w - - 5 62,g5g6,818
8/5k2/1R4P1/5K2/2p5/2P5/8/8 b - - 0 62,f7e7,861
8/4k3/1R4P1/5K2/2p5/2P5/8/8 w - - 1 63,b6e6,824
8/4k3/4R1P1/5K2/2p5/2P5/8/8 b - - 2 63,e7d8,3612
3k4/8/4R1P1/5K2/2p5/2P5/8/8 w - - 3 64,e6e4,3654
3k4/8/6P1/5K2/2p1R3/2P5/8/8 b - - 4 64,d8c7,3671
8/2k5/6P1/5K2/2p1R3/2P5/8/8 w - - 5 65,g6g7,3973
8/2k3P1/8/5K2/2p1R3/2P5/8/8 b - - 0 65,c7d7,3659
8/3k2P1/8/5K2/2p1R3/2P5/8/8 w - - 1 66,e4c4,5
8/3k2P1/8/5K2/2R5/2P5/8/8 b - - 0 66,d7d8,3
3k4/6P1/8/5K2/2R5/2P5/8/8 w - - 1 67,g7g8q,3
3k2Q1/8/8/5K2/2R5/2P5/8/8 b - - 0 67,d8e7,2
6Q1/4k3/8/5K2/2R5/2P5/8/8 w - - 1 68,c4c7,2
6Q1/2R1k3/8/5K2/8/2P5/8/8 b - - 2 68,e7d6,1
6Q1/2R5/3k4/5K2/8/2P5/8/8 w - - 3 69,g8d8,1
1rbqkbnr/ppp1p1p1/n2p2Np/5p2/4P3/P7/1PPP1PPP/RNBQKB1R b KQk - 1 6,h8h7,254
1rbqkbn1/ppp1p1pr/n2p2Np/5p2/4P3/P7/1PPP1PPP/RNBQKB1R w KQ - 2 7,e4e5,256
1rbqkbn1/ppp1p1pr/n2p2Np/4Pp2/8/P7/1PPP1PPP/RNBQKB1R b KQ - 0 7,c8e6,259
1r1qkbn1/ppp1p1pr/n2pb1Np/4Pp2/8/P7/1PPP1PPP/RNBQKB1R w KQ - 1 8,h2h4,238
1r1qkbn1/ppp1p1pr/n2pb1Np/4Pp2/7P/P7/1PPP1PP1/RNBQKB1R b KQ - 0 8,e6f7,183
1r1qkbn1/ppp1pbpr/n2p2Np/4Pp2/7P/P7/1PPP1PP1/RNBQKB1R w KQ - 1 9,h4h5,198
1r1qkbn1/ppp1pbpr/n2p2Np/4Pp1P/8/P7/1PPP1PP1/RNBQKB1R b KQ - 0 9,e7e6,186
1r1qkbn1/ppp2bpr/n2pp1Np/4Pp1P/8/P7/1PPP1PP1/RNBQKB1R w KQ - 0 10,d2d4,199
1r1qkbn1/ppp2bpr/n2pp1Np/4Pp1P/3P4/P7/1PP2PP1/RNBQKB1R b KQ - 0 10,g8e7,209
1r1qkb2/ppp1nbpr/n2pp1Np/4Pp1P/3P4/P7/1PP2PP1/RNBQKB1R w KQ - 1 11,g6f8,179
1r1qkN2/ppp1nbpr/n2pp2p/4Pp1P/3P4/P7/1PP2PP1/RNBQKB1R b KQ - 0 11,e8f8,173
1r1q1k2/ppp1nbpr/n2pp2p/4Pp1P/3P4/P7/1PP2PP1/RNBQKB1R w KQ - 0 12,b2b4,161
1r1q1k2/ppp1nbpr/n2pp2p/4Pp1P/1P1P4/P7/2P2PP1/RNBQKB1R b KQ - 0 12,b8c8,181
2rq1k2/ppp1nbpr/n2pp2p/4Pp1P/1P1P4/P7/2P2PP1/RNBQKB1R w KQ - 1 13,d1f3,181
2rq1k2/ppp1nbpr/n2pp2p/4Pp1P/1P1P4/P4Q2/2P2PP1/RNB1KB1R b KQ - 2 13,d6e5,145
2rq1k2/ppp1nbpr/n3p2p/4pp1P/1P1P4/P4Q2/2P2PP1/RNB1KB1R w KQ - 0 14,f3b7,149
2rq1k2/pQp1nbpr/n3p2p/4pp1P/1P1P4/P7/2P2PP1/RNB1KB1R b KQ - 0 14,a6b8,110
1nrq1k2/pQp1nbpr/4p2p/4pp1P/1P1P4/P7/2P2PP1/RNB1KB1R w KQ - 1 15,d4e5,136
1nrq1k2/pQp1nbpr/4p2p/4Pp1P/1P6/P7/2P2PP1/RNB1KB1R b KQ - 0 15,d8d4,132
1nr2k2/pQp1nbpr/4p2p/4Pp1P/1P1q4/P7/2P2PP1/RNB1KB1R w KQ - 1 16,c2c3,143
1nr2k2/pQp1nbpr/4p2p/4Pp1P/1P1q4/P1P5/5PP1/RNB1KB1R b KQ - 0 16,d4e5,144
1nr2k2/pQp1nbpr/4p2p/4qp1P/1P6/P1P5/5PP1/RNB1KB1R w KQ - 0 17,f1e2,144
1nr2k2/pQp1nbpr/4p2p/4qp1P/1P6/P1P5/4BPP1/RNB1K2R b KQ - 1 17,b8c6,131
2r2k2/pQp1nbpr/2n1p2p/4qp1P/1P6/P1P5/4BPP1/RNB1K2R w KQ - 2 18,b7a6,157
2r2k2/p1p1nbpr/Q1n1p2p/4qp1P/1P6/P1P5/4BPP1/RNB1K2R b KQ - 3 18,g7g5,150
2r2k2/p1p1nb1r/Q1n1p2p/4qppP/1P6/P1P5/4BPP1/RNB1K2R w KQ g6 0 19,h5g6,153
2r2k2/p1p1nb1r/Q1n1p1Pp/4qp2/1P6/P1P5/4BPP1/RNB1K2R b KQ - 0 19,f7g6,178
2r2k2/p1p1n2r/Q1n1p1bp/4qp2/1P6/P1P5/4BPP1/RNB1K2R w KQ - 0 20,b4b5,175
2r2k2/p1p1n2r/Q1n1p1bp/1P2qp2/8/P1P5/4BPP1/RNB1K2R b KQ - 0 20,c6d8,183
2rn1k2/p1p1n2r/Q3p1bp/1P2qp2/8/P1P5/4BPP1/RNB1K2R w KQ - 1 21,f2f4,149
2rn1k2/p1p1n2r/Q3p1bp/1P2qp2/5P2/P1P5/4B1P1/RNB1K2R b KQ - 0 21,e5c5,144
2rn1k2/p1p1n2r/Q3p1bp/1Pq2p2/5P2/P1P5/4B1P1/RNB1K2R w KQ - 1 22,a3a4,193
2rn1k2/p1p1n2r/Q3p1bp/1Pq2p2/P4P2/2P5/4B1P1/RNB1K2R b KQ - 0 22,f8g8,142
2rn2k1/p1p1n2r/Q3p1bp/1Pq2p2/P4P2/2P5/4B1P1/RNB1K2R w KQ - 1 23,h1h3,192
2rn2k1/p1p1n2r/Q3p1bp/1Pq2p2/P4P2/2P4R/4B1P1/RNB1K3 b Q - 2 23,c5g1,155
2rn2k1/p1p1n2r/Q3p1bp/1P3p2/P4P2/2P4R/4B1P1/RNB1K1q1 w Q - 3 24,e2f1,155
2rn2k1/p1p1n2r/Q3p1bp/1P3p2/P4P2/2P4R/6P1/RNB1KBq1 b Q - 4 24,g1b6,168
2rn2k1/p1p1n2r/Qq2p1bp/1P3p2/P4P2/2P4R/6P1/RNB1KB2 w Q - 5 25,a6b6,164
2rn2k1/p1p1n2r/1Q2p1bp/1P3p2/P4P2/2P4R/6P1/RNB1KB2 b Q - 0 25,c7b6,161
2rn2k1/p3n2r/1p2p1bp/1P3p2/P4P2/2P4R/6P1/RNB1KB2 w Q - 0 26,a4a5,151
2rn2k1/p3n2r/1p2p1bp/PP3p2/5P2/2P4R/6P1/RNB1KB2 b Q - 0 26,e7d5,175
2rn2k1/p6r/1p2p1bp/PP1n1p2/5P2/2P4R/6P1/RNB1KB2 w Q - 1 27,c3c4,189
2rn2k1/p6r/1p2p1bp/PP1n1p2/2P2P2/7R/6P1/RNB1KB2 b Q - 0 27,d5b4,171
2rn2k1/p6r/1p2p1bp/PP3p2/1nP2P2/7R/6P1/RNB1KB2 w Q - 1 28,e1f2,162
2rn2k1/p6r/1p2p1bp/PP3p2/1nP2P2/7R/5KP1/RNB2B2 b - - 2 28,d8b7,213
2r3k1/pn5r/1p2p1bp/PP3p2/1nP2P2/7R/5KP1/RNB2B2 w - - 3 29,a5b6,400
2r3k1/pn5r/1P2p1bp/1P3p2/1nP2P2/7R/5KP1/RNB2B2 b - - 0 29,a7b6,200
2r3k1/1n5r/1p2p1bp/1P3p2/1nP2P2/7R/5KP1/RNB2B2 w - - 0 30,a1a4,183
2r3k1/1n5r/1p2p1bp/1P3p2/RnP2P2/7R/5KP1/1NB2B2 b - - 1 30,b4d5,117
2r3k1/1n5r/1p2p1bp/1P1n1p2/R1P2P2/7R/5KP1/1NB2B2 w - - 2 31,c4d5,134
2r3k1/1n5r/1p2p1bp/1P1P1p2/R4P2/7R/5KP1/1NB2B2 b - - 0 31,c8c1,59
6k1/1n5r/1p2p1bp/1P1P1p2/R4P2/7R/5KP1/1Nr2B2 w - - 0 32,a4a8,104
R5k1/1n5r/1p2p1bp/1P1P1p2/5P2/7R/5KP1/1Nr2B2 b - - 1 32,g8g7,86
R7/1n4kr/1p2p1bp/1P1P1p2/5P2/7R/5KP1/1Nr2B2 w - - 2 33,b1c3,89
R7/1n4kr/1p2p1bp/1P1P1p2/5P2/2N4R/5KP1/2r2B2 b - - 3 33,b7c5,98
R7/6kr/1p2p1bp/1PnP1p2/5P2/2N4R/5KP1/2r2B2 w - - 4 34,d5e6,101
R7/6kr/1p2P1bp/1Pn2p2/5P2/2N4R/5KP1/2r2B2 b - - 0 34,c1c3,53
R7/6kr/1p2P1bp/1Pn2p2/5P2/2r4R/5KP1/5B2 w - - 0 35,h3c3,97
R7/6kr/1p2P1bp/1Pn2p2/5P2/2R5/5KP1/5B2 b - - 0 35,c5e4,102
R7/6kr/1p2P1bp/1P3p2/4nP2/2R5/5KP1/5B2 w - - 1 36,f2e3,88
R7/6kr/1p2P1bp/1P3p2/4nP2/2R1K3/6P1/5B2 b - - 2 36,e4c3,103
R7/6kr/1p2P1bp/1P3p2/5P2/2n1K3/6P1/5B2 w - - 0 37,e3d4,111
R7/6kr/1p2P1bp/1P3p2/3K1P2/2n5/6P1/5B2 b - - 1 37,c3e4,110
R7/6kr/1p2P1bp/1P3p2/3KnP2/8/6P1/5B2 w - - 2 38,d4e5,102
R7/6kr/1p2P1bp/1P2Kp2/4nP2/8/6P1/5B2 b - - 3 38,e4f6,126
R7/6kr/1p2Pnbp/1P2Kp2/5P2/8/6P1/5B2 w - - 4 39,f1e2,128
R7/6kr/1p2Pnbp/1P2Kp2/5P2/8/4B1P1/8 b - - 5 39,f6e8,115
R3n3/6kr/1p2P1bp/1P2Kp2/5P2/8/4B1P1/8 w - - 6 40,a8a6,92
4n3/6kr/Rp2P1bp/1P2Kp2/5P2/8/4B1P1/8 b - - 7 40,g7f8,61
4nk2/7r/Rp2P1bp/1P2Kp2/5P2/8/4B1P1/8 w - - 8 41,a6b6,89
4nk2/7r/1R2P1bp/1P2Kp2/5P2/8/4B1P1/8 b - - 0 41,h7c7,46
4nk2/2r5/1R2P1bp/1P2Kp2/5P2/8/4B1P1/8 w - - 1 42,e2f3,29
4nk2/2r5/1R2P1bp/1P2Kp2/5P2/5B2/6P1/8 b - - 2 42,f8e7,81
4n3/2r1k3/1R2P1bp/1P2Kp2/5P2/5B2/6P1/8 w - - 3 43,f3d5,48
4n3/2r1k3/1R2P1bp/1P1BKp2/5P2/8/6P1/8 b - - 4 43,e8f6,29
8/2r1k3/1R2Pnbp/1P1BKp2/5P2/8/6P1/8 w - - 5 44,d5c6,31
8/2r1k3/1RB1Pnbp/1P2Kp2/5P2/8/6P1/8 b - - 6 44,f6g4,20
8/2r1k3/1RB1P1bp/1P2Kp2/5Pn1/8/6P1/8 w - - 7 45,e5d4,30
8/2r1k3/1RB1P1bp/1P3p2/3K1Pn1/8/6P1/8 b - - 8 45,g4f6,18
8/2r1k3/1RB1Pnbp/1P3p2/3K1P2/8/6P1/8 w - - 9 46,d4e5,0
8/2r1k3/1RB1Pnbp/1P2Kp2/5P2/8/6P1/8 b - - 10 46,f6g4,14
8/2r1k3/1RB1P1bp/1P2Kp2/5Pn1/8/6P1/8 w - - 11 47,e5d4,0
8/2r1k3/1RB1P1bp/1P3p2/3K1Pn1/8/6P1/8 b - - 12 47,g4f6,0
8/2r1k3/1RB1Pnbp/1P3p2/3K1P2/8/6P1/8 w - - 13 48,b6a6,2
8/2r1k3/R1B1Pnbp/1P3p2/3K1P2/8/6P1/8 b - - 14 48,g6h5,-7
8/2r1k3/R1B1Pn1p/1P3p1b/3K1P2/8/6P1/8 w - - 15 49,d4e5,28
8/2r1k3/R1B1Pn1p/1P2Kp1b/5P2/8/6P1/8 b - - 16 49,h5e2,24
8/2r1k3/R1B1Pn1p/1P2Kp2/5P2/8/4b1P1/8 w - - 17 50,b5b6,4
8/2r1k3/RPB1Pn1p/4Kp2/5P2/8/4b1P1/8 b - - 0 50,f6g4,-14
8/2r1k3/RPB1P2p/4Kp2/5Pn1/8/4b1P1/8 w - - 1 51,e5d5,-81
8/2r1k3/RPB1P2p/3K1p2/5Pn1/8/4b1P1/8 b - - 2 51,e2a6,-175
8/2r1k3/bPB1P2p/3K1p2/5Pn1/8/6P1/8 w - - 0 52,b6c7,-132
8/2P1k3/b1B1P2p/3K1p2/5Pn1/8/6P1/8 b - - 0 52,a6c8,-139
2b5/2P1k3/2B1P2p/3K1p2/5Pn1/8/6P1/8 w - - 1 53,c6a8,-149
B1b5/2P1k3/4P2p/3K1p2/5Pn1/8/6P1/8 b - - 2 53,g4f6,-167
B1b5/2P1k3/4Pn1p/3K1p2/5P2/8/6P1/8 w - - 3 54,d5e5,-131
B1b5/2P1k3/4Pn1p/4Kp2/5P2/8/6P1/8 b - - 4 54,c8e6,-139
B7/2P1k3/4bn1p/4Kp2/5P2/8/6P1/8 w - - 0 55,a8b7,-129
8/1BP1k3/4bn1p/4Kp2/5P2/8/6P1/8 b - - 1 55,f6d7,-148
8/1BPnk3/4b2p/4Kp2/5P2/8/6P1/8 w - - 2 56,e5d4,-166
8/1BPnk3/4b2p/5p2/3K1P2/8/6P1/8 b - - 3 56,d7b6,-143
8/1BP1k3/1n2b2p/5p2/3K1P2/8/6P1/8 w - - 4 57,d4c5,-143
8/1BP1k3/1n2b2p/2K2p2/5P2/8/6P1/8 b - - 5 57,b6c8,-142
2n5/1BP1k3/4b2p/2K2p2/5P2/8/6P1/8 w - - 6 58,b7c6,-174
2n5/2P1k3/2B1b2p/2K2p2/5P2/8/6P1/8 b - - 7 58,e6b3,-145
2n5/2P1k3/2B4p/2K2p2/5P2/1b6/6P1/8 w - - 8 59,c6b5,-169
2n5/2P1k3/7p/1BK2p2/5P2/1b6/6P1/8 b - - 9 59,b3e6,-154
2n5/2P1k3/4b2p/1BK2p2/5P2/8/6P1/8 w - - 10 60,b5c6,-129
2n5/2P1k3/2B1b2p/2K2p2/5P2/8/6P1/8 b - - 11 60,h6h5,-157
2n5/2P1k3/2B1b3/2K2p1p/5P2/8/6P1/8 w - - 0 61,g2g3,-127
2n5/2P1k3/2B1b3/2K2p1p/5P2/6P1/8/8 b - - 0 61,c8d6,-125
8/2P1k3/2Bnb3/2K2p1p/5P2/6P1/8/8 w - - 1 62,c6f3,-175
8/2P1k3/3nb3/2K2p1p/5P2/5BP1/8/8 b - - 2 62,d6e4,-267
8/2P1k3/4b3/2K2p1p/4nP2/5BP1/8/8 w - - 3 63,c5d4,-78
8/2P1k3/4b3/5p1p/3KnP2/5BP1/8/8 b - - 4 63,e4g3,-98
8/2P1k3/4b3/5p1p/3K1P2/5Bn1/8/8 w - - 0 64,f3b7,-45
8/1BP1k3/4b3/5p1p/3K1P2/6n1/8/8 b - - 1 64,h5h4,-108
8/1BP1k3/4b3/5p2/3K1P1p/6n1/8/8 w - - 0 65,d4e3,-75
8/1BP1k3/4b3/5p2/5P1p/4K1n1/8/8 b - - 1 65,e7d6,-51
8/1BP5/3kb3/5p2/5P1p/4K1n1/8/8 w - - 2 66,c7c8q,-42
2Q5/1B6/3kb3/5p2/5P1p/4K1n1/8/8 b - - 0 66,e6c8,-71
2b5/1B6/3k4/5p2/5P1p/4K1n1/8/8 w - - 0 67,b7c8,-8
2B5/8/3k4/5p2/5P1p/4K1n1/8/8 b - - 0 67,g3h5,-9
2B5/8/3k4/5p1n/5P1p/4K3/8/8 w - - 1 68,c8f5,-2
8/8/3k4/5B1n/5P1p/4K3/8/8 b - - 0 68,h4h3,-1
8/8/3k4/5B1n/5P2/4K2p/8/8 w - - 0 69,f5h3,-1
8/8/3k4/7n/5P2/4K2B/8/8 b - - 0 69,h5g7,0
8/6n1/3k4/8/5P2/4K2B/8/8 w - - 1 70,h3e6,0
8/6n1/3kB3/8/5P2/4K3/8/8 b - - 2 70,d6e7,0
8/4k1n1/4B3/8/5P2/4K3/8/8 w - - 3 71,f4f5,0
8/4k1n1/4B3/5P2/8/4K3/8/8 b - - 0 71,g7h5,0
8/4k3/4B3/5P1n/8/4K3/8/8 w - - 1 72,f5f6,2
8/4k3/4BP2/7n/8/4K3/8/8 b - - 0 72,e7f6,0
8/8/4Bk2/7n/8/4K3/8/8 w - - 0 73,e3d4,0
8/8/4Bk2/7n/3K4/8/8/8 b - - 1 73,f6e7,0
8/4k3/4B3/7n/3K4/8/8/8 w - - 2 74,d4e4,0
8/4k3/4B3/7n/4K3/8/8/8 b - - 3 74,e7d8,0
3k4/8/4B3/7n/4K3/8/8/8 w - - 4 75,e4d5,0
3k4/8/4B3/3K3n/8/8/8/8 b - - 5 75,h5f6,0
3k4/8/4Bn2/3K4/8/8/8/8 w - - 6 76,d5d4,0
3k4/8/4Bn2/8/3K4/8/8/8 b - - 7 76,f6g8,0
3k2n1/8/4B3/8/3K4/8/8/8 w - - 8 77,d4e5,0
3k2n1/8/4B3/4K3/8/8/8/8 b - - 9 77,g8h6,0
3k4/8/4B2n/4K3/8/8/8/8 w - - 10 78,e6d7,0
3k4/3B4/7n/4K3/8/8/8/8 b - - 11 78,h6g4,0
3k4/3B4/8/4K3/6n1/8/8/8 w - - 12 79,e5e6,0
3k4/3B4/4K3/8/6n1/8/8/8 b - - 13 79,d8c7,0
8/2kB4/4K3/8/6n1/8/8/8 w - - 14 80,d7b5,0
8/2k5/4K3/1B6/6n1/8/8/8 b - - 15 80,g4e5,0
8/2k5/4K3/1B2n3/8/8/8/8 w - - 16 81,b5c4,0
8/2k5/4K3/4n3/2B5/8/8/8 b - - 17 81,e5d3,0
8/2k5/4K3/8/2B5/3n4/8/8 w - - 18 82,c4a2,0
8/2k5/4K3/8/8/3n4/B7/8 b - - 19 82,c7c6,0
8/8/2k1K3/8/8/3n4/B7/8 w - - 20 83,a2d5,0
8/8/2k1K3/3B4/8/3n4/8/8 b - - 21 83,c6c7,0
8/2k5/4K3/3B4/8/3n4/8/8 w - - 22 84,e6f6,0
8/2k5/5K2/3B4/8/3n4/8/8 b - - 23 84,d3e5,0
8/2k5/5K2/3Bn3/8/8/8/8 w - - 24 85,d5c6,0
8/2k5/2B2K2/4n3/8/8/8/8 b - - 25 85,e5d7,0
8/2kn4/2B2K2/8/8/8/8/8 w - - 26 86,f6g5,0
8/2kn4/2B5/6K1/8/8/8/8 b - - 27 86,d7b8,0
1n6/2k5/2B5/6K1/8/8/8/8 w - - 28 87,c6d7,0
1n6/2kB4/8/6K1/8/8/8/8 b - - 29 87,c7b6,0
1n6/3B4/1k6/6K1/8/8/8/8 w - - 30 88,g5h5,0
1n6/3B4/1k6/7K/8/8/8/8 b - - 31 88,b6c5,0
1n6/3B4/8/2k4K/8/8/8/8 w - - 32 89,d7b5,0
1n6/8/8/1Bk4K/8/8/8/8 b - - 33 89,b8d7,0
8/3n4/8/1Bk4K/8/8/8/8 w - - 34 90,h5h4,0
8/3n4/8/1Bk5/7K/8/8/8 b - - 35 90,c5d4,0
8/3n4/8/1B6/3k3K/8/8/8 w - - 36 91,b5c4,0
8/3n4/8/8/2Bk3K/8/8/8 b - - 37 91,d7f6,0
