state,action,value
6N1/7k/5b1P/8/8/4K3/8/8 b - - 12 60,f6g7,0
6N1/6bk/7P/8/8/4K3/8/8 w - - 13 61,g8e7,0
8/4N1bk/7P/8/8/4K3/8/8 b - - 14 61,g7b2,0
8/4N2k/7P/8/8/4K3/1b6/8 w - - 15 62,e3e4,0
8/4N2k/7P/8/4K3/8/1b6/8 b - - 16 62,b2d4,0
8/4N2k/7P/8/3bK3/8/8/8 w - - 17 63,e7g8,0
6N1/7k/7P/8/3bK3/8/8/8 b - - 18 63,d4g7,0
6N1/6bk/7P/8/4K3/8/8/8 w - - 19 64,e4d5,0
6N1/6bk/7P/3K4/8/8/8/8 b - - 20 64,g7h6,0
6N1/7k/7b/3K4/8/8/8/8 w - - 0 65,d5c6,0
6N1/7k/2K4b/8/8/8/8/8 b - - 1 65,h6e3,0
6N1/7k/2K5/8/8/4b3/8/8 w - - 2 66,g8h6,0
8/7k/2K4N/8/8/4b3/8/8 b - - 3 66,e3c1,0
8/7k/2K4N/8/8/8/8/2b5 w - - 4 67,c6d6,0
8/7k/3K3N/8/8/8/8/2b5 b - - 5 67,c1g5,0
8/7k/3K3N/6b1/8/8/8/8 w - - 6 68,d6e6,0
8/7k/4K2N/6b1/8/8/8/8 b - - 7 68,h7g6,0
8/8/4K1kN/6b1/8/8/8/8 w - - 8 69,h6f5,0
8/8/4K1k1/5Nb1/8/8/8/8 b - - 9 69,g6h7,0
8/7k/4K3/5Nb1/8/8/8/8 w - - 10 70,f5d6,0
8/7k/3NK3/6b1/8/8/8/8 b - - 11 70,g5f6,0
8/7k/3NKb2/8/8/8/8/8 w - - 12 71,d6e4,0
8/7k/4Kb2/8/4N3/8/8/8 b - - 13 71,h7h6,0
8/8/4Kb1k/8/4N3/8/8/8 w - - 14 72,e4g3,0
8/8/4Kb1k/8/8/6N1/8/8 b - - 15 72,f6h8,0
7b/8/4K2k/8/8/6N1/8/8 w - - 16 73,e6e7,0
7b/4K3/7k/8/8/6N1/8/8 b - - 17 73,h8c3,0
8/4K3/7k/8/8/2b3N1/8/8 w - - 18 74,g3f5,0
8/4K3/7k/5N2/8/2b5/8/8 b - - 19 74,h6h7,0
8/4K2k/8/5N2/8/2b5/8/8 w - - 20 75,f5g7,1
8/4K1Nk/8/8/8/2b5/8/8 b - - 21 75,c3e5,0
8/4K1Nk/8/4b3/8/8/8/8 w - - 22 76,e7d8,0
3K4/6Nk/8/4b3/8/8/8/8 b - - 23 76,e5c7,0
3K4/2b3Nk/8/8/8/8/8/8 w - - 24 77,d8e7,0
8/2b1K1Nk/8/8/8/8/8/8 b - - 25 77,c7h2,0
8/4K1Nk/8/8/8/8/7b/8 w - - 26 78,g7e6,0
8/4K2k/4N3/8/8/8/7b/8 b - - 27 78,h7g8,0
6k1/4K3/4N3/8/8/8/7b/8 w - - 28 79,e6f4,1
6k1/4K3/8/8/5N2/8/7b/8 b - - 29 79,g8g7,0
8/4K1k1/8/8/5N2/8/7b/8 w - - 30 80,e7d7,0
8/3K2k1/8/8/5N2/8/7b/8 b - - 31 80,g7f6,0
8/3K4/5k2/8/5N2/8/7b/8 w - - 32 81,d7c6,0
8/8/2K2k2/8/5N2/8/7b/8 b - - 33 81,h2g1,0
8/8/2K2k2/8/5N2/8/8/6b1 w - - 34 82,f4g6,0
8/8/2K2kN1/8/8/8/8/6b1 b - - 35 82,f6e6,0
8/8/2K1k1N1/8/8/8/8/6b1 w - - 36 83,g6e7,0
8/4N3/2K1k3/8/8/8/8/6b1 b - - 37 83,g1d4,0
8/4N3/2K1k3/8/3b4/8/8/8 w - - 38 84,e7f5,0
8/8/2K1k3/5N2/3b4/8/8/8 b - - 39 84,d4c5,0
8/8/2K1k3/2b2N2/8/8/8/8 w - - 40 85,f5e7,0
8/4N3/2K1k3/2b5/8/8/8/8 b - - 41 85,c5e3,0
8/4N3/2K1k3/8/8/4b3/8/8 w - - 42 86,e7f5,0
